BCH_NO	INVSPL_CD	INDVROLETP_CD	TRANS_CD	CORPINDV_CD	DEDTRANS_NO	DT	ISSUE_PRCAL_PAY_NO	FR_PRCAL_PAY_NO	TO_PRCAL_PAY_NO	AMT	CHQTP_CD	PAY_REVS_IND	ORIG_TRANS_CD	GL_CD	MISACCT_CD	ORG_CD	THPTY_CD	BONDANNCAMP_EFFYR	INDV_ID
11		E	C527	I	1	1/1/2023 0:00				90.00	1	0	C527						400070
11		E	C527	I	2	1/1/2023 0:00				90.00	1	0	C527						485882
11		E	C527	I	3	1/1/2023 0:00				90.00	1	0	C527						496803
11		E	C527	I	4	1/1/2023 0:00				90.00	1	0	C527						537153
11		E	C527	I	5	1/1/2023 0:00				90.00	1	0	C527						476180
11		E	C527	I	6	1/1/2023 0:00				90.00	1	0	C527						482666
11		E	C527	I	7	1/1/2023 0:00				90.00	1	0	C527						489779
11		E	C527	I	8	1/1/2023 0:00				90.00	1	0	C527						512169
11		E	C527	I	9	1/1/2023 0:00				90.00	1	0	C527						483886
11		E	C527	I	10	1/1/2023 0:00				90.00	1	0	C527						478240
11		E	C527	I	11	1/1/2023 0:00				90.00	1	0	C527						478371
11		E	C527	I	12	1/1/2023 0:00				90.00	1	0	C527						517999
11		E	C527	I	13	1/1/2023 0:00				90.00	1	0	C527						535016
11		E	C527	I	14	1/1/2023 0:00				90.00	1	0	C527						535369
11		E	C527	I	15	1/1/2023 0:00				90.00	1	0	C527						479498
11		E	C527	I	16	1/1/2023 0:00				90.00	1	0	C527						477370
11		E	C527	I	17	1/1/2023 0:00				90.00	1	0	C527						511589
11		E	C527	I	18	1/1/2023 0:00				90.00	1	0	C527						502365
11		E	C527	I	19	1/1/2023 0:00				90.00	1	0	C527						487813
11		E	C527	I	20	1/1/2023 0:00				90.00	1	0	C527						498723
11		E	C527	I	21	1/1/2023 0:00				90.00	1	0	C527						475990
11		E	C527	I	22	1/1/2023 0:00				90.00	1	0	C527						505946
11		E	C527	I	23	1/1/2023 0:00				90.00	1	0	C527						487754
11		E	C527	I	24	1/1/2023 0:00				90.00	1	0	C527						486796
11		E	C527	I	25	1/1/2023 0:00				90.00	1	0	C527						480100
11		E	C527	I	26	1/1/2023 0:00				90.00	1	0	C527						487675
11		E	C527	I	27	1/1/2023 0:00				90.00	1	0	C527						505825
11		E	C527	I	28	1/1/2023 0:00				90.00	1	0	C527						479786
11		E	C527	I	29	1/1/2023 0:00				90.00	1	0	C527						476948
11		E	C527	I	30	1/1/2023 0:00				90.00	1	0	C527						482473
11		E	C527	I	31	1/1/2023 0:00				90.00	1	0	C527						487246
11		E	C527	I	32	1/1/2023 0:00				90.00	1	0	C527						477416
11		E	C527	I	33	1/1/2023 0:00				90.00	1	0	C527						476144
11		E	C527	I	34	1/1/2023 0:00				90.00	1	0	C527						476023
11		E	C527	I	35	1/1/2023 0:00				90.00	1	0	C527						475685
11		E	C527	I	36	1/1/2023 0:00				90.00	1	0	C527						487182
11		E	C527	I	37	1/1/2023 0:00				90.00	1	0	C527						477070
11		E	C527	I	38	1/1/2023 0:00				90.00	1	0	C527						487099
11		E	C527	I	39	1/1/2023 0:00				90.00	1	0	C527						491829
11		E	C527	I	40	1/1/2023 0:00				90.00	1	0	C527						475830
11		E	C527	I	41	1/1/2023 0:00				90.00	1	0	C527						474473
11		E	C527	I	42	1/1/2023 0:00				90.00	1	0	C527						487148
11		E	C527	I	43	1/1/2023 0:00				90.00	1	0	C527						479880
11		E	C527	I	44	1/1/2023 0:00				90.00	1	0	C527						484868
11		E	C527	I	45	1/1/2023 0:00				90.00	1	0	C527						514964
11		E	C527	I	46	1/1/2023 0:00				90.00	1	0	C527						486848
11		E	C527	I	47	1/1/2023 0:00				90.00	1	0	C527						473120
11		E	C527	I	48	1/1/2023 0:00				90.00	1	0	C527						494485
11		E	C527	I	49	1/1/2023 0:00				90.00	1	0	C527						475451
11		E	C527	I	50	1/1/2023 0:00				90.00	1	0	C527						505937
11		E	C527	I	51	1/1/2023 0:00				90.00	1	0	C527						497136
11		E	C527	I	52	1/1/2023 0:00				90.00	1	0	C527						474681
11		E	C527	I	53	1/1/2023 0:00				90.00	1	0	C527						486493
11		E	C527	I	54	1/1/2023 0:00				90.00	1	0	C527						267752
11		E	C527	I	55	1/1/2023 0:00				90.00	1	0	C527						230516
11		E	C527	I	56	1/1/2023 0:00				90.00	1	0	C527						512941
11		E	C527	I	57	1/1/2023 0:00				90.00	1	0	C527						483150
11		E	C527	I	58	1/1/2023 0:00				90.00	1	0	C527						480450
11		E	C527	I	59	1/1/2023 0:00				90.00	1	0	C527						487094
11		E	C527	I	60	1/1/2023 0:00				90.00	1	0	C527						368885
11		E	C527	I	61	1/1/2023 0:00				90.00	1	0	C527						531493
11		E	C527	I	62	1/1/2023 0:00				90.00	1	0	C527						490148
11		E	C527	I	63	1/1/2023 0:00				90.00	1	0	C527						491532
11		E	C527	I	64	1/1/2023 0:00				90.00	1	0	C527						487689
11		E	C527	I	65	1/1/2023 0:00				90.00	1	0	C527						536245
11		E	C527	I	66	1/1/2023 0:00				90.00	1	0	C527						536989
11		E	C527	I	67	1/1/2023 0:00				90.00	1	0	C527						531421
11		E	C527	I	68	1/1/2023 0:00				90.00	1	0	C527						144810
11		E	C527	I	69	1/1/2023 0:00				90.00	1	0	C527						522220
11		E	C527	I	70	1/1/2023 0:00				90.00	1	0	C527						524935
11		E	C527	I	71	1/1/2023 0:00				90.00	1	0	C527						532365
11		E	C527	I	72	1/1/2023 0:00				90.00	1	0	C527						487188
11		E	C527	I	73	1/1/2023 0:00				90.00	1	0	C527						523209
